Company Name,Trade,City,State,Website,Main Phone,Owner / Manager Name,Owner / Manager Email,Google Ads / LSA Likely?,Notes,First Call Attempt Date,Call Outcome,Follow-Up Needed,Email Sent Date,Demo Booked?,Status,Source
TemperaturePro,HVAC,Tulsa,OK,https://temperaturepro.com/tulsa-ok/,918-480-8701,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
ProThermal Heating and Cooling,HVAC,Tulsa,OK,https://www.prothermalhvac.com/,918-807-8364,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
Innovative Air Pros,HVAC,Jenks,OK,https://innovativeairpros.com/,918-205-1615,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
Dowd Heat and Air,HVAC,Tulsa,OK,https://dowdheatandair.com/,918-437-3721,,,Unsure,"Listed in Today's Homeowner and Discover Tulsa HVAC roundups.",,,, ,No,New,Today's Homeowner / Discover Tulsa
Aire Serv of South Tulsa,HVAC,Bixby,OK,https://www.aireserv.com/south-tulsa/,918-518-1492,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
ASAP Heating & Air Inc,HVAC,Tulsa,OK,https://asapheatandair.com/,918-727-2727,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
True Blue Heating & Cooling,HVAC,Tulsa,OK,https://www.trueblueac.com/,918-341-4240,,,Unsure,"Listed in Today's Homeowner and Discover Tulsa HVAC roundups.",,,, ,No,New,Today's Homeowner / Discover Tulsa
Superior Air Services,HVAC,Tulsa,OK,https://superiorairservices.com/,918-357-2248,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
Airco Service,HVAC,Langley,OK,https://www.aircoservice.com/,918-216-0079,,,Unsure,"Listed in Today's Homeowner and Discover Tulsa HVAC roundups; serves Tulsa market.",,,, ,No,New,Today's Homeowner / Discover Tulsa
All Seasons Heating & Air Conditioning,HVAC,Broken Arrow,OK,https://tulsahomeservices.com/,918-455-5993,,,Unsure,"Listed in Today's Homeowner Tulsa HVAC roundup.",,,, ,No,New,Today's Homeowner
Frost Air Services,HVAC,Tulsa,OK,https://frostairservices.com/,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Wolf's Heating and Air Conditioning,HVAC,Tulsa,OK,https://wolfsheatingandair.com/,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Air Comfort Solutions,HVAC,Tulsa,OK,https://aircomfortsolutions.net/,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Wortman Central Air,HVAC,Tulsa,OK,https://wortmancentralair.com/,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Jack Nelson Service Experts,HVAC,Tulsa,OK,https://www.serviceexperts.com/jack-nelson,,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Brian's Heat and Air,HVAC,Tulsa,OK,https://briansheatandair.com/,918-951-5835,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Gusto Service Company,HVAC,Tulsa,OK,https://gustoservice.com/,,,,Unsure,"Listed in Discover Tulsa HVAC roundup.",,,, ,No,New,Discover Tulsa
Evolve Plumbing,Plumbing,Tulsa,OK,https://evolveplumbingllc.com/,,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Sargent's Plumbing and Drain,Plumbing,Tulsa,OK,https://sgtplumbing.com/locations/tulsa-ok/,918-380-5637,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa / DDG
Acts of Service Plumbing,Plumbing,Tulsa,OK,https://actsofserviceplumbing.com/,918-891-1737,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Wooten Knockout Plumbing,Plumbing,Tulsa,OK,https://www.wootenplumbing.com/,918-241-3900,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa / company site
Half Moon Plumbing,Plumbing,Tulsa,OK,https://halfmoonplumbing.com/,918-205-2487,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Williams Plumbing and Drain Service,Plumbing,Tulsa,OK,https://williamsplumbingtulsa.com/,,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Allied Plumbing Service,Plumbing,Tulsa,OK,https://www.alliedplumbingservice.com/,918-744-1000,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Duvall Plumbing Company,Plumbing,Tulsa,OK,https://duvallplumbingco.com/,918-221-5662,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
York Plumbing and Mechanical,Plumbing,Tulsa,OK,https://www.yorkplumbingtulsa.com/,918-833-3200,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa / DDG
Infinity Plumbing Services,Plumbing,Tulsa,OK,https://www.infinityplumbingservices.com/,918-258-1818,,,Unsure,"Listed in Discover Tulsa plumbers roundup.",,,, ,No,New,Discover Tulsa
Tulsa Roofing Company,Roofing,Tulsa,OK,https://tulsaroofco.com/,918-205-9661,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
Priority Roofing,Roofing,Tulsa,OK,https://priorityroofs.com/location/tulsa/,918-550-2354,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
BOLD Roofworks,Roofing,Tulsa,OK,https://boldroofworks.com/,918-280-9171,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
Roof Co.,Roofing,Tulsa,OK,https://okroofco.com/,918-921-4400,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
Pro-Tech Roofing,Roofing,Tulsa,OK,https://www.tulsaprotech.com/,918-250-7663,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
Arrowhead Roofing,Roofing,Tulsa,OK,https://www.arrowheadroofing.com/,918-743-9257,,,Unsure,"Appeared in DuckDuckGo Tulsa roofing search.",,,, ,No,New,DuckDuckGo
Hot Shot Electric LLC,Electrical,Tulsa,OK,https://hotshotelectrical.com/tulsa-electrician/,918-261-8024,,,Unsure,"Appeared in DuckDuckGo Tulsa electrician search.",,,, ,No,New,DuckDuckGo
Houchin Electric,Electrical,Tulsa,OK,https://www.houchinelectric.com/,918-663-1818,,,Unsure,"Appeared in DuckDuckGo Tulsa electrician search.",,,, ,No,New,DuckDuckGo
Tulsa Electric LLC,Electrical,Tulsa,OK,https://tulsaelectricllc.com/,918-992-5233,,,Unsure,"Appeared in DuckDuckGo Tulsa electrician search.",,,, ,No,New,DuckDuckGo
FireFly Electricians,Electrical,Tulsa,OK,https://fireflyelectricians.com/,918-804-9222,,,Unsure,"Appeared in DuckDuckGo Tulsa electrician search.",,,, ,No,New,DuckDuckGo
Mr. Electric of Tulsa,Electrical,Tulsa,OK,https://mrelectric.com/tulsa,833-785-6698,,,Unsure,"National brand local branch; appeared in direct site lookup for Tulsa electricians.",,,, ,No,New,Company site
Koala Insulation of Tulsa,Insulation,Tulsa,OK,https://koalainsulation.com/tulsa,,,,Unsure,"Appeared in DuckDuckGo Tulsa insulation search.",,,, ,No,New,DuckDuckGo
Tulsa Insulation Company,Insulation,Tulsa,OK,https://www.istulsa.com/home,918-232-9055,,,Unsure,"Appeared in DuckDuckGo Tulsa insulation search.",,,, ,No,New,DuckDuckGo
IBP of Tulsa,Insulation,Tulsa,OK,https://www.ibptulsa.com/,,,,Unsure,"Appeared in DuckDuckGo Tulsa insulation search.",,,, ,No,New,DuckDuckGo
USA Insulation Tulsa,Insulation,Tulsa,OK,https://usainsulation.net/tulsa,,,,Unsure,"Appeared in DuckDuckGo Tulsa insulation search.",,,, ,No,New,DuckDuckGo
Rise Foam Insulation,Insulation,Tulsa,OK,https://risefoam.com/,918-520-8485,,,Unsure,"Appeared in DuckDuckGo Tulsa insulation search.",,,, ,No,New,DuckDuckGo
Overhead Door Company of Tulsa,Garage Door,Tulsa,OK,https://overheaddoortulsa.com/,918-836-2546,,,Unsure,"Appeared in DuckDuckGo Tulsa garage door search.",,,, ,No,New,DuckDuckGo
Precision Garage Door Service,Garage Door,Tulsa,OK,https://precisiondoortulsa.com/,,,,Unsure,"Appeared in DuckDuckGo Tulsa garage door search.",,,, ,No,New,DuckDuckGo
Superior Overhead Doors,Garage Door,Tulsa,OK,https://superioroverheaddoors.com/,918-228-5333,,,Unsure,"Appeared in DuckDuckGo Tulsa garage door search.",,,, ,No,New,DuckDuckGo
Discount Garage Door,Garage Door,Tulsa,OK,https://okdiscountgaragedoor.com/,918-234-3667,,,Unsure,"Appeared in DuckDuckGo Tulsa garage door search.",,,, ,No,New,DuckDuckGo
Tulsa Garage Door Pros,Garage Door,Tulsa,OK,https://tulsagaragedoorpros.com/,918-897-0025,,,Unsure,"Appeared in DuckDuckGo Tulsa garage door search.",,,, ,No,New,DuckDuckGo
